iter	MultiClass
0	1.604557284
1	1.60012901
2	1.595031508
3	1.589342728
4	1.583709099
5	1.579099359
6	1.573647153
7	1.569129116
8	1.564310943
9	1.559159575
10	1.554626231
11	1.549303199
12	1.545709457
13	1.540893617
14	1.535836403
15	1.530842856
16	1.526423606
17	1.522582756
18	1.518114049
19	1.514070102
20	1.510428583
21	1.507238338
22	1.503894279
23	1.498987617
24	1.494565201
25	1.491482511
26	1.488283066
27	1.484461222
28	1.480527031
29	1.476106557
30	1.472561833
31	1.469235042
32	1.464543874
33	1.460848332
34	1.457536013
35	1.45402518
36	1.450537634
37	1.446625084
38	1.442978398
39	1.43934884
40	1.435914656
41	1.432258466
42	1.428196778
43	1.424984648
44	1.421707075
45	1.418236114
46	1.41423014
47	1.410661732
48	1.407708332
49	1.404933801
50	1.401779112
51	1.398908561
52	1.396342016
53	1.393529415
54	1.390176294
55	1.387124012
56	1.384807864
57	1.382084637
58	1.379259951
59	1.377024173
60	1.374274072
61	1.371762667
62	1.369078821
63	1.366382504
64	1.364175876
65	1.361529842
66	1.359300601
67	1.35671882
68	1.353985506
69	1.350919686
70	1.347805611
71	1.344875251
72	1.343114513
73	1.341295348
74	1.339016282
75	1.336756488
76	1.334720344
77	1.332499303
78	1.330216527
79	1.327342909
80	1.325270282
81	1.322791042
82	1.320434449
83	1.318018742
84	1.316417995
85	1.314831609
86	1.3125029
87	1.310354258
88	1.308203962
89	1.306142
90	1.303488721
91	1.300810623
92	1.29907156
93	1.296914647
94	1.294617639
95	1.29268582
96	1.290599791
97	1.288559815
98	1.286013423
99	1.283489522
100	1.281473429
101	1.279481475
102	1.277030657
103	1.274586248
104	1.272629311
105	1.270744002
106	1.268877997
107	1.267101842
108	1.265411704
109	1.263435302
110	1.261955388
111	1.260281387
112	1.258038833
113	1.25632775
114	1.254349888
115	1.252503078
116	1.250788365
117	1.249392452
118	1.247464195
119	1.245916148
120	1.24448843
121	1.243004995
122	1.240370858
123	1.238085532
124	1.236689309
125	1.234810739
126	1.233496216
127	1.231317932
128	1.2291132
129	1.226975692
130	1.225218427
131	1.223578233
132	1.222378717
133	1.220995602
134	1.219850002
135	1.218378804
136	1.216734381
137	1.215504885
138	1.213478616
139	1.212009237
140	1.209962305
141	1.208453296
142	1.207193762
143	1.206142319
144	1.20495016
145	1.20306352
146	1.201644939
147	1.200181997
148	1.199197345
149	1.197774566
150	1.196164656
151	1.194623885
152	1.193361404
153	1.192011096
154	1.190524336
155	1.189510864
156	1.187925032
157	1.186471352
158	1.184657276
159	1.182925393
160	1.181957753
161	1.180601047
162	1.179245192
163	1.177975644
164	1.176627679
