iter	Passed	Remaining
0	2	2088
1	3	1878
2	5	1828
3	7	1748
4	9	1874
5	11	1835
6	12	1786
7	14	1755
8	15	1723
9	17	1690
10	18	1659
11	21	1730
12	22	1717
13	24	1726
14	26	1749
15	28	1736
16	29	1724
17	31	1710
18	33	1705
19	34	1694
20	36	1686
21	37	1675
22	39	1672
23	41	1695
24	43	1696
25	45	1692
26	46	1682
27	48	1681
28	50	1676
29	51	1672
30	53	1676
31	55	1673
32	57	1677
33	59	1680
34	60	1673
35	62	1667
36	63	1664
37	65	1664
38	67	1662
39	69	1658
40	70	1652
41	72	1660
42	74	1657
43	76	1655
44	78	1656
45	79	1656
46	81	1648
47	82	1641
48	84	1636
49	85	1633
50	87	1633
51	89	1636
52	91	1636
53	93	1630
54	94	1624
55	96	1620
56	97	1615
57	99	1609
58	100	1606
59	102	1599
60	103	1597
61	105	1601
62	107	1596
63	108	1593
64	110	1590
65	112	1587
66	113	1581
67	114	1574
68	116	1569
69	117	1564
70	120	1570
71	121	1571
72	123	1570
73	125	1568
74	126	1565
75	128	1563
76	130	1559
77	131	1557
78	133	1555
79	135	1557
80	137	1556
81	138	1554
82	140	1549
83	141	1547
84	143	1544
85	145	1541
86	146	1539
87	148	1536
88	149	1532
89	151	1534
90	153	1533
91	154	1529
92	156	1526
93	158	1524
94	159	1520
95	160	1516
96	162	1512
97	164	1511
98	166	1510
99	167	1511
100	169	1509
101	171	1507
102	172	1503
103	174	1499
104	175	1495
105	177	1495
106	179	1494
107	180	1491
108	182	1492
109	184	1493
110	186	1490
111	187	1485
112	188	1481
113	190	1479
114	191	1476
115	193	1475
116	195	1473
117	197	1472
118	199	1476
119	201	1474
120	202	1473
121	204	1469
122	205	1466
123	207	1465
124	209	1463
125	210	1461
126	212	1459
127	214	1459
128	216	1462
129	218	1461
130	219	1458
131	221	1456
132	223	1455
133	224	1453
134	226	1449
135	227	1446
136	229	1444
137	231	1443
138	232	1441
139	234	1439
140	236	1437
141	237	1435
142	239	1433
143	240	1430
144	242	1428
145	244	1427
146	245	1425
147	247	1424
148	249	1425
149	251	1423
150	252	1419
151	253	1416
152	255	1414
153	257	1412
154	258	1411
155	260	1409
156	262	1407
157	263	1406
158	265	1404
159	267	1401
160	268	1398
161	269	1396
162	271	1394
163	272	1391
164	274	1388
165	276	1386
166	277	1384
167	279	1385
168	281	1382
169	282	1380
170	284	1377
171	285	1375
172	287	1373
173	288	1371
174	290	1370
175	292	1367
176	293	1365
177	295	1366
178	297	1363
179	298	1361
180	300	1358
181	301	1356
182	303	1354
183	304	1351
184	306	1348
185	307	1347
186	309	1346
187	311	1345
188	313	1343
189	314	1341
190	316	1338
191	317	1335
192	319	1334
193	320	1332
194	322	1331
195	324	1329
196	325	1327
197	327	1327
198	329	1325
199	330	1323
200	332	1321
201	334	1319
202	335	1318
203	337	1317
204	338	1314
205	340	1311
206	342	1310
207	343	1309
208	345	1307
209	346	1305
210	348	1303
211	350	1301
212	352	1301
213	353	1299
214	355	1297
215	357	1296
216	359	1295
217	360	1293
218	362	1292
219	363	1290
220	365	1287
221	367	1286
222	368	1285
223	370	1282
224	371	1280
225	373	1280
226	375	1279
227	377	1276
228	378	1275
229	380	1275
230	382	1273
231	384	1271
232	385	1270
233	387	1269
234	389	1269
235	391	1267
236	393	1268
237	395	1266
238	397	1264
239	398	1261
240	400	1260
241	401	1259
242	403	1256
243	405	1255
244	407	1255
245	409	1253
246	410	1252
247	412	1251
248	414	1249
249	416	1248
250	417	1246
251	419	1245
252	421	1245
253	423	1244
254	425	1242
255	426	1240
256	428	1238
257	430	1236
258	431	1234
259	433	1232
260	434	1230
261	436	1229
262	438	1228
263	440	1227
264	441	1225
265	443	1223
266	444	1221
267	446	1219
268	448	1218
269	450	1216
270	451	1214
271	453	1213
272	455	1212
273	456	1210
274	458	1208
275	460	1206
276	461	1204
277	463	1202
278	464	1201
279	466	1200
280	469	1201
281	471	1200
282	473	1199
283	474	1197
284	476	1195
285	478	1193
286	479	1191
287	481	1190
288	482	1188
289	484	1186
290	486	1186
291	488	1183
292	489	1181
293	491	1179
294	492	1177
295	494	1176
296	496	1175
297	498	1173
298	500	1173
299	502	1171
300	504	1171
301	506	1169
302	507	1168
303	509	1166
304	511	1165
305	513	1163
306	514	1161
